connType,cit
Original,"""...we construct a mathematical model…"""
Indirect,"""...where the pathways have been known for more than a half-century and where more kinetic data have been available, including more recent data on in vivo dynamics"""
Partially Direct,"""Tyson and Novak (2001) have proposed a simplified version (Fig. 1) of a model by Chen et al. (2000) of the budding yeast cell cycle.""

""After Tyson and Novak (2001), we assume that…"""
Indirect,"""Like Xu et al. (2003), who simulated cellular breakdown of PIP2, we used the Virtual Cell environment of the National Resource for Cell Analysis and Modeling"""
Indirect,"""As for previous clock models (Smolen et al, 2004; Locke et al, 2005), some parameters are more sensitive to change than others."""
Indirect," ""Recent mathematical modeling demonstrated that bistability can arise from “hidden,” or implicit, feedback loops that are usually not explicitly drawn in biochemical reaction schemes [30,31]. Similarily, we present a model showing that inhibition of Casp3 and Casp9 by IAPs results in an implicit positive feedback and in bistability. """
,
Direct," ""To this end, a continuous differential equation model based upon the Shea–Ackers formalism [18] was employed, and using this we have developed a model for the core transcriptional dynamics of ES cells involving the OCT4, SOX2, and NANOG genes, their self-regulation, as well as their regulation of stem cell and differentiation TGs."" "
Partially Direct," ""We used the interlocked feedback loop model published in Locke et al (2005a) as the basis for the model extension."""
Partially Direct," ""based on the biological hypothesis that they are activated by LHY and in turn repress LHY transcription..."""
Partially Direct," ""A total of 23 reaction constants was taken from experimental values, while the others were obtained by fitting the calculated production of LTB4 and its ω-oxidation products (ω-LTB4) to experimental data"""
Indirect,"""Vilar et al. proposed a concise model for the TGF-β receptor trafficking network [16]. On the other hand, Clarke et al. [17] and Melke et al. [18] proposed the models for the Smad nucleocytoplasmic shuttling and Smad phosphorylation response to the TGF-β signal without considering the receptor trafficking steps. In this study, we established a comprehensive mathematical model for the TGF-β ..."""
Direct,
Direct,"""In this paper, we add more genetic and molecular details to the Brazhnik-Tyson model"" "
Partially Direct,"""We have incorporated a third important regulatory protein, DnaA [18,19]"""
Direct,"""The Mad1/Mad2 action and Cdc20 inhibition is described by a recently developed mathematical model [24] based on the biochemical Template Model [25], [26]."""
Direct,"""The description of MCC formation and APC inhibition is based on results from biochemical experiments [15], [27]–[31]."""
Partially Direct,"""Moreover, this model has been confirmed by Nezi et al. [32]"""
Partially Direct," ""Others were carefully obtained or estimated from previous theoretical studies [65]–[67]."" "
Partially Direct,"""model defines a unique module that connects with other models that deal with upstream signaling dynamics leading to the activation of Erk [21] or PI3K [30],[31], as well as downstream dynamics leading to mammalian cell fate decisions [32]–[34] """
Direct,"""In this work we develop a dynamical model of lineage determination based upon a minimal circuit, as discussed in [9], """
Direct,"""Here we extend the model by including more components..."""
Direct,"""Note that an autocatalytic positive feedback mechanism is already embedded in our model..."" "
Direct,"""...so here we describe only those new components of the model…"""
Direct,"""The core oscillator utilized in our model originates from a previous study"""
Partially Direct,"""Our single SCN model neuron was described by a modified integrate-and-fire model"""
Indirect,"""105 is typical of Akt when stimulated by insulin"""
Direct,"""...and have adapted this model to incorporate..."""
Direct,"""We have extended our generic ubiquitin-proteasome model..."""
,
Indirect,"""...a three-switch ring oscillator analogous to the repressilator."""
Direct,"""Based on our previous model.."""
Partially Direct,"""...developed a new mathematical model which includes …"""
Partially Direct,"""…integrated submodules… mainly based on the model of…"""
Partially Direct,"""… was summarized by including… as described in a previous model…"""
Direct,"""...we have extended the chaperone model..."""
Direct,"""We build on a previously published computational model..."""
Indirect,"""...showed, using a computational model of nerve growth factor signaling, that viable model predictions can be achieved  in spite of a high degree of uncertainty in all kinetic parameters..."""
Direct,"We previously published a mathematical model for S. pombe cell-cycle regulation , and have independently modified the model from the gTOW [Chen] experiment, such that the model reproduces more published experimental results. Here, we designated the model ‘basic model,'..."
Indirect,The rates of protein-protein interactions are given by…which are often exploited to describe the rates of protein modification reactions...
